,Brand,Model,Status,Fuel_Type,Transmission,Horse_power,Age,MileagePerYear,Price
142,Bmw,Serie 1,occasion,Essence,Automatique,7.0,7,5714,110000.0
143,Bmw,Serie 1,occasion,Essence,Manuelle,7.0,7,18782,60000.0
144,Bmw,Serie 1,occasion,Essence,Manuelle,7.0,7,18285,123456.0
145,Bmw,Serie 1,occasion,Essence,Automatique,7.0,7,14000,68000.0
146,Bmw,Serie 1,occasion,Essence,Automatique,7.0,4,10500,135000.0
147,Bmw,Serie 1,occasion,Diesel,Automatique,6.0,3,66666,120500.0
148,Bmw,Serie 2 Active Tourer,occasion,Essence,Automatique,7.0,9,16000,74000.0
149,Bmw,Serie 2 Cabriolet,occasion,Essence,Automatique,8.0,6,13833,115000.0
150,Bmw,Serie 2 Gran Tourer,occasion,Essence,Automatique,8.0,2,11000,123456.0
151,Bmw,Serie 3,occasion,Essence,Manuelle,7.0,31,4241,18000.0
152,Bmw,Serie 3,occasion,Essence,Manuelle,7.0,16,8217,31500.0
153,Bmw,Serie 3,occasion,Essence,Manuelle,7.0,8,22500,54000.0
154,Bmw,Serie 3,occasion,Essence,Automatique,7.0,6,30000,67000.0
155,Bmw,Serie 3,occasion,Essence,Manuelle,9.0,39,8547,7000.0
156,Bmw,Serie 3,occasion,Essence,Manuelle,9.0,28,7797,19500.0
157,Bmw,Serie 3,occasion,Diesel,Manuelle,4.0,25,12000,26000.0
158,Bmw,Serie 3,occasion,Essence,Manuelle,7.0,20,20000,21000.0
159,Bmw,Serie 3,occasion,Essence,Manuelle,8.0,18,7304,29000.0
160,Bmw,Serie 3,occasion,Diesel,Automatique,10.0,17,14705,49000.0
161,Bmw,Serie 3,occasion,Essence,Manuelle,7.0,17,14705,32000.0
162,Bmw,Serie 3,occasion,Essence,Manuelle,7.0,16,12812,38000.0
163,Bmw,Serie 3,occasion,Essence,Manuelle,7.0,14,9391,48000.0
164,Bmw,Serie 3,occasion,Essence,Manuelle,7.0,13,10113,42000.0
165,Bmw,Serie 3,occasion,Diesel,Manuelle,18.0,13,10113,39000.0
166,Bmw,Serie 3,occasion,Essence,Manuelle,7.0,12,10956,46000.0
167,Bmw,Serie 3,occasion,Essence,Automatique,7.0,11,17272,64000.0
168,Bmw,Serie 3,occasion,Essence,Manuelle,7.0,11,11952,56000.0
169,Bmw,Serie 3,occasion,Essence,Manuelle,7.0,11,11952,64000.0
170,Bmw,Serie 3,occasion,Essence,Automatique,7.0,11,14363,65000.0
171,Bmw,Serie 3,occasion,Essence,Automatique,7.0,10,19000,69500.0
172,Bmw,Serie 3,occasion,Essence,Automatique,7.0,10,18500,67000.0
173,Bmw,Serie 3,occasion,Essence,Automatique,7.0,9,20000,68000.0
174,Bmw,Serie 3,occasion,Essence,Automatique,7.0,9,14608,59000.0
175,Bmw,Serie 3,occasion,Essence,Automatique,7.0,9,10444,75000.0
176,Bmw,Serie 3,occasion,Essence,Automatique,7.0,7,18782,66000.0
177,Bmw,Serie 3,occasion,Essence,Automatique,7.0,7,27714,85000.0
178,Bmw,Serie 4 Coupe,occasion,Essence,Automatique,10.0,10,10600,120000.0
179,Bmw,Serie 4 Coupe,occasion,Essence,Automatique,10.0,9,8333,93000.0
180,Bmw,Serie 4 Coupe,occasion,Essence,Automatique,10.0,9,8333,105000.0
181,Bmw,Serie 4 Coupe,occasion,Diesel,Automatique,10.0,9,13333,130000.0
182,Bmw,Serie 4 Coupe,occasion,Essence,Automatique,7.0,8,21625,100000.0
183,Bmw,Serie 4 Coupe,occasion,Essence,Automatique,7.0,4,10000,145000.0
184,Bmw,Serie 5,occasion,Diesel,Manuelle,7.0,34,3867,14000.0
185,Bmw,Serie 5,occasion,Essence,Manuelle,11.0,33,3984,10900.0
186,Bmw,Serie 5,occasion,Essence,Manuelle,10.0,27,10000,15500.0
187,Bmw,Serie 5,occasion,Essence,Manuelle,10.0,24,5478,16000.0
188,Bmw,Serie 5,occasion,Diesel,Automatique,11.0,20,21100,33000.0
189,Bmw,Serie 5,occasion,Essence,Manuelle,11.0,17,8411,60000.0
190,Bmw,Serie 5,occasion,Diesel,Automatique,12.0,16,11875,57000.0
191,Bmw,Serie 5,occasion,Diesel,Automatique,10.0,14,9391,55000.0
192,Bmw,Serie 5,occasion,Diesel,Automatique,10.0,14,17857,62000.0
193,Bmw,Serie 5,occasion,Diesel,Automatique,10.0,13,20000,61900.0
194,Bmw,Serie 5,occasion,Diesel,Automatique,10.0,13,10113,78000.0
195,Bmw,Serie 5,occasion,Essence,Automatique,10.0,12,16416,79900.0
196,Bmw,Serie 5,occasion,Diesel,Automatique,10.0,12,16716,80000.0
197,Bmw,Serie 5,occasion,Essence,Automatique,11.0,11,18181,67000.0
198,Bmw,Serie 5,occasion,Essence,Automatique,10.0,11,11952,90000.0
199,Bmw,Serie 5,occasion,Diesel,Automatique,10.0,10,22800,74000.0
200,Bmw,Serie 5,occasion,Essence,Automatique,10.0,6,22000,135000.0
201,Bmw,Serie 5,occasion,Essence,Automatique,10.0,6,16666,148000.0
202,Bmw,Serie 6,occasion,Essence,Automatique,17.0,17,6000,72000.0
203,Bmw,Serie 7,occasion,Essence,Automatique,31.0,15,11333,97000.0
204,Bmw,Serie 7,occasion,Essence,Automatique,23.0,14,9000,125000.0
205,Bmw,X1,occasion,Essence,Automatique,7.0,7,21428,84000.0
206,Bmw,X1,occasion,Essence,Automatique,9.0,11,16363,59000.0
207,Bmw,X1,occasion,Essence,Automatique,9.0,11,16363,62000.0
208,Bmw,X1,occasion,Essence,Automatique,7.0,8,19875,89900.0
209,Bmw,X1,occasion,Essence,Automatique,8.0,4,18500,112000.0
210,Bmw,X3,occasion,Essence,Manuelle,10.0,17,22352,34000.0
211,Bmw,X3,occasion,Diesel,Manuelle,10.0,15,10266,53000.0
212,Bmw,X3,occasion,Essence,Automatique,7.0,5,13400,145000.0
213,Bmw,X5,occasion,Diesel,Automatique,12.0,21,7142,46000.0
214,Bmw,X5,occasion,Diesel,Automatique,15.0,16,17500,67500.0
215,Bmw,X5,occasion,Diesel,Automatique,10.0,14,9000,119000.0
216,Bmw,X6,occasion,Diesel,Automatique,15.0,14,13571,98000.0
217,Bmw,i3,occasion,Essence,Automatique,7.0,12,18583,47500.0
218,Bmw,i3,occasion,Essence,Manuelle,7.0,11,10454,58000.0
219,Bmw,i3,occasion,Essence,Automatique,7.0,11,11952,5555.0
220,Buick,S2,occasion,Essence,Manuelle,7.0,7,11571,42000.0
221,Buick,S3,occasion,Essence,Manuelle,7.0,7,18571,35000.0
222,Chery,A3,occasion,Essence,Manuelle,6.0,7,8301,28000.0
223,Chery,A3,occasion,Essence,Manuelle,6.0,7,15410,28700.0
224,Chery,A3,occasion,Essence,Manuelle,6.0,6,18333,26500.0
225,Chery,A3,occasion,Essence,Manuelle,6.0,6,9685,32000.0
226,Chery,A3,occasion,Essence,Manuelle,6.0,6,20666,30000.0
227,Chery,A3,occasion,Essence,Manuelle,6.0,5,17400,36000.0
228,Chery,A3,occasion,Essence,Manuelle,6.0,5,17000,36000.0
229,Chery,A5,occasion,Essence,Manuelle,7.0,7,12428,40000.0
230,Chery,A5,occasion,Essence,Manuelle,7.0,7,23857,26500.0
231,Chery,A5,occasion,Essence,Manuelle,7.0,6,7116,123000.0
232,Chery,QQ,occasion,Essence,Manuelle,5.0,7,14285,23000.0
233,Chery,QQ,occasion,Essence,Manuelle,4.0,7,14714,21500.0
234,Chery,QQ,occasion,Essence,Manuelle,4.0,7,11428,22000.0
236,Chery,QQ,occasion,Essence,Manuelle,5.0,7,22857,21800.0
237,Chery,QQ,occasion,Essence,Manuelle,4.0,7,8301,23500.0
238,Chery,QQ,occasion,Essence,Manuelle,4.0,7,10857,21500.0
239,Chery,QQ,occasion,Essence,Manuelle,4.0,6,15000,23500.0
240,Chery,QQ,occasion,Essence,Manuelle,4.0,6,9685,19500.0
241,Chery,QQ,occasion,Essence,Manuelle,4.0,5,20800,22800.0
242,Chery,QQ,occasion,Essence,Manuelle,4.0,5,7400,24800.0
243,Chery,QQ,occasion,Essence,Manuelle,4.0,5,16200,21500.0
244,Chery,QQ,occasion,Essence,Manuelle,4.0,5,14000,23800.0
245,Chery,QQ,occasion,Essence,Manuelle,4.0,4,14527,23000.0
246,Chery,QQ,occasion,Essence,Manuelle,4.0,4,9300,25000.0
247,Chery,QQ,occasion,Essence,Manuelle,4.0,3,13666,26000.0
248,Chery,QQ,occasion,Essence,Manuelle,4.0,3,18666,22000.0
249,Chery,QQ,occasion,Essence,Manuelle,4.0,3,13666,25000.0
250,Chery,QQ,occasion,Diesel,Manuelle,4.0,3,13233,25500.0
251,Chery,QQ,occasion,Essence,Manuelle,4.0,3,14333,23800.0
252,Chery,QQ,occasion,Essence,Manuelle,4.0,2,3000,27000.0
253,Chery,QQ,occasion,Essence,Manuelle,4.0,2,23500,24700.0
254,Chery,QQ,occasion,Essence,Manuelle,4.0,2,12500,25500.0
255,Chery,Tiggo,occasion,Essence,Manuelle,6.0,4,25000,42500.0
256,Chery,Tiggo,occasion,Essence,Manuelle,6.0,4,21000,42000.0
257,Chery,Tiggo,occasion,Essence,Manuelle,6.0,4,7375,40000.0
258,Chery,Tiggo,occasion,Essence,Automatique,6.0,2,14000,58000.0
259,Chery,Tiggo,occasion,Essence,Manuelle,4.0,1,58111,47000.0
260,Chery,Tiggo,occasion,Essence,Automatique,22.0,1,58111,89000.0
261,Chery,Tiggo,occasion,Essence,Manuelle,6.0,5,14400,40000.0
262,Chery,Tiggo,occasion,Essence,Manuelle,6.0,5,36000,32000.0
263,Chery,Tiggo,occasion,Essence,Automatique,9.0,5,17280,70000.0
264,Chery,Tiggo,occasion,Essence,Automatique,9.0,5,24000,68000.0
265,Chery,Tiggo,occasion,Essence,Manuelle,8.0,5,20000,45000.0
266,Chery,Tiggo,occasion,Essence,Manuelle,6.0,4,24875,54000.0
267,Chery,Tiggo,occasion,Essence,Manuelle,6.0,4,7500,46000.0
268,Chery,Tiggo,occasion,Essence,Automatique,4.0,4,13250,80000.0
269,Chery,Tiggo,occasion,Essence,Manuelle,6.0,4,16625,45500.0
270,Chery,Tiggo,occasion,Essence,Manuelle,6.0,4,16500,48000.0
271,Chery,Tiggo,occasion,Essence,Manuelle,5.0,4,9350,42500.0
272,Chery,Tiggo,occasion,Essence,Manuelle,6.0,4,12500,41000.0
273,Chery,Tiggo,occasion,Essence,Automatique,9.0,3,19370,44000.0
274,Chery,Tiggo,occasion,Essence,Manuelle,6.0,3,32666,38000.0
275,Chery,Tiggo,occasion,Essence,Automatique,9.0,3,24333,59000.0
276,Chery,Tiggo,occasion,Essence,Automatique,9.0,3,6666,95000.0
277,Chery,Tiggo,occasion,Essence,Manuelle,6.0,3,12666,47000.0
278,Chery,Tiggo,occasion,Essence,Automatique,9.0,3,14000,68000.0
279,Chery,Tiggo,occasion,Essence,Automatique,6.0,2,10000,57000.0
280,Chery,Tiggo,occasion,Essence,Automatique,6.0,2,4000,58000.0
281,Chery,Tiggo,occasion,Essence,Automatique,6.0,2,21806,57500.0
282,Chery,Tiggo,occasion,Essence,Automatique,6.0,2,13500,56000.0
283,Chery,Tiggo,occasion,Essence,Automatique,9.0,2,31500,80001.0
284,Chery,Tiggo,occasion,Essence,Automatique,6.0,2,12500,59000.0
285,Chery,Tiggo,occasion,Essence,Automatique,6.0,2,15500,56500.0
286,Chery,Tiggo,occasion,Essence,Automatique,9.0,2,25500,83000.0
287,Chery,Tiggo,occasion,Essence,Automatique,6.0,2,20250,57000.0
288,Chery,Tiggo,occasion,Essence,Automatique,6.0,2,34000,55000.0
289,Chery,Tiggo,occasion,Essence,Automatique,6.0,2,10000,60000.0
290,Chevrolet,Optra,occasion,Essence,Manuelle,6.0,17,11882,16800.0
291,Chevrolet,Aveo,occasion,Essence,Manuelle,5.0,9,17777,25000.0
292,Chevrolet,Sonic,occasion,Essence,Manuelle,5.0,7,15807,29000.0
293,Chevrolet,Sonic,occasion,Essence,Manuelle,5.0,6,18000,111000.0
