Brand,Model,Status,Fuel_Type,Transmission,Horse_power,Age,MileagePerYear,Price
Bmw,Serie 3,occasion,Diesel,Automatique,10.0,17,14705,49000
Bmw,Serie 3,occasion,Essence,Manuelle,7.0,17,14705,32000
Bmw,Serie 3,occasion,Essence,Manuelle,7.0,16,12812,38000
Bmw,Serie 3,occasion,Essence,Manuelle,7.0,14,9391,48000
Bmw,Serie 3,occasion,Essence,Manuelle,7.0,13,10113,42000
Bmw,Serie 3,occasion,Diesel,Manuelle,18.0,13,10113,39000
Bmw,Serie 3,occasion,Essence,Manuelle,7.0,12,10956,46000
Bmw,Serie 3,occasion,Essence,Automatique,7.0,11,17272,64000
Bmw,Serie 3,occasion,Essence,Manuelle,7.0,11,11952,56000
Bmw,Serie 3,occasion,Essence,Manuelle,7.0,11,11952,64000
Bmw,Serie 3,occasion,Essence,Automatique,7.0,11,14363,65000
Bmw,Serie 3,occasion,Essence,Automatique,7.0,10,19000,69500
Bmw,Serie 3,occasion,Essence,Automatique,7.0,10,18500,67000
Bmw,Serie 3,occasion,Essence,Automatique,7.0,9,20000,68000
Bmw,Serie 3,occasion,Essence,Automatique,7.0,9,14608,59000
Bmw,Serie 3,occasion,Essence,Automatique,7.0,9,10444,75000
Bmw,Serie 3,occasion,Essence,Automatique,7.0,7,18782,66000
Bmw,Serie 3,occasion,Essence,Automatique,7.0,7,27714,85000
Bmw,Serie 4 Coupe,occasion,Essence,Automatique,10.0,10,10600,120000
Bmw,Serie 4 Coupe,occasion,Essence,Automatique,10.0,9,8333,93000
Bmw,Serie 4 Coupe,occasion,Essence,Automatique,10.0,9,8333,105000
Bmw,Serie 4 Coupe,occasion,Diesel,Automatique,10.0,9,13333,130000
Bmw,Serie 4 Coupe,occasion,Essence,Automatique,7.0,8,21625,100000
Bmw,Serie 4 Coupe,occasion,Essence,Automatique,7.0,4,10000,145000
Bmw,Serie 5,occasion,Diesel,Manuelle,7.0,34,3867,14000
Bmw,Serie 5,occasion,Essence,Manuelle,11.0,33,3984,10900
Bmw,Serie 5,occasion,Essence,Manuelle,10.0,27,10000,15500
Bmw,Serie 5,occasion,Essence,Manuelle,10.0,24,5478,16000
Bmw,Serie 5,occasion,Diesel,Automatique,11.0,20,21100,33000
Bmw,Serie 5,occasion,Essence,Manuelle,11.0,17,8411,60000
Bmw,Serie 5,occasion,Diesel,Automatique,12.0,16,11875,57000
Bmw,Serie 5,occasion,Diesel,Automatique,10.0,14,9391,55000
Bmw,Serie 5,occasion,Diesel,Automatique,10.0,14,17857,62000
Bmw,Serie 5,occasion,Diesel,Automatique,10.0,13,20000,61900
Bmw,Serie 5,occasion,Diesel,Automatique,10.0,13,10113,78000
Bmw,Serie 5,occasion,Essence,Automatique,10.0,12,16416,79900
Bmw,Serie 5,occasion,Diesel,Automatique,10.0,12,16716,80000
Bmw,Serie 5,occasion,Essence,Automatique,11.0,11,18181,67000
Bmw,Serie 5,occasion,Essence,Automatique,10.0,11,11952,90000
Bmw,Serie 5,occasion,Diesel,Automatique,10.0,10,22800,74000
Bmw,Serie 5,occasion,Essence,Automatique,10.0,6,22000,135000
Bmw,Serie 5,occasion,Essence,Automatique,10.0,6,16666,148000
Bmw,Serie 6,occasion,Essence,Automatique,17.0,17,6000,72000
Bmw,Serie 7,occasion,Essence,Automatique,31.0,15,11333,97000
Bmw,Serie 7,occasion,Essence,Automatique,23.0,14,9000,125000
Bmw,X1,occasion,Essence,Automatique,7.0,7,21428,84000
Bmw,X1,occasion,Essence,Automatique,9.0,11,16363,59000
Bmw,X1,occasion,Essence,Automatique,9.0,11,16363,62000
Bmw,X1,occasion,Essence,Automatique,7.0,8,19875,89900
Bmw,X1,occasion,Essence,Automatique,8.0,4,18500,112000
Bmw,X3,occasion,Essence,Manuelle,10.0,17,22352,34000
Bmw,X3,occasion,Diesel,Manuelle,10.0,15,10266,53000
Bmw,X3,occasion,Essence,Automatique,7.0,5,13400,145000
Bmw,X5,occasion,Diesel,Automatique,12.0,21,7142,46000
Bmw,X5,occasion,Diesel,Automatique,15.0,16,17500,67500
Bmw,X5,occasion,Diesel,Automatique,10.0,14,9000,119000
Bmw,X6,occasion,Diesel,Automatique,15.0,14,13571,98000
Bmw,i3,occasion,Essence,Automatique,7.0,12,18583,47500
Bmw,i3,occasion,Essence,Manuelle,7.0,11,10454,58000
Bmw,i3,occasion,Essence,Automatique,7.0,11,11952,5555
Buick,S2,occasion,Essence,Manuelle,7.0,7,11571,42000
Buick,S3,occasion,Essence,Manuelle,7.0,7,18571,35000
Chery,A3,occasion,Essence,Manuelle,6.0,7,8301,28000
Chery,A3,occasion,Essence,Manuelle,6.0,7,15410,28700
Chery,A3,occasion,Essence,Manuelle,6.0,6,18333,26500
Chery,A3,occasion,Essence,Manuelle,6.0,6,9685,32000
Chery,A3,occasion,Essence,Manuelle,6.0,6,20666,30000
Chery,A3,occasion,Essence,Manuelle,6.0,5,17400,36000
Chery,A3,occasion,Essence,Manuelle,6.0,5,17000,36000
Chery,A5,occasion,Essence,Manuelle,7.0,7,12428,40000
Chery,A5,occasion,Essence,Manuelle,7.0,7,23857,26500
Chery,A5,occasion,Essence,Manuelle,7.0,6,7116,123000
Chery,QQ,occasion,Essence,Manuelle,5.0,7,14285,23000
Chery,QQ,occasion,Essence,Manuelle,4.0,7,14714,21500
Chery,QQ,occasion,Essence,Manuelle,4.0,7,11428,22000
Chery,QQ,occasion,Essence,Manuelle,4.0,7,11428,22000
Chery,QQ,occasion,Essence,Manuelle,5.0,7,22857,21800
Chery,QQ,occasion,Essence,Manuelle,4.0,7,8301,23500
Chery,QQ,occasion,Essence,Manuelle,4.0,7,10857,21500
Chery,QQ,occasion,Essence,Manuelle,4.0,6,15000,23500
Chery,QQ,occasion,Essence,Manuelle,4.0,6,9685,19500
Chery,QQ,occasion,Essence,Manuelle,4.0,5,20800,22800
Chery,QQ,occasion,Essence,Manuelle,4.0,5,7400,24800
Chery,QQ,occasion,Essence,Manuelle,4.0,5,16200,21500
Chery,QQ,occasion,Essence,Manuelle,4.0,5,14000,23800
Chery,QQ,occasion,Essence,Manuelle,4.0,4,14527,23000
Chery,QQ,occasion,Essence,Manuelle,4.0,4,9300,25000
Chery,QQ,occasion,Essence,Manuelle,4.0,3,13666,26000
Chery,QQ,occasion,Essence,Manuelle,4.0,3,18666,22000
Chery,QQ,occasion,Essence,Manuelle,4.0,3,13666,25000
Chery,QQ,occasion,Diesel,Manuelle,4.0,3,13233,25500
Chery,QQ,occasion,Essence,Manuelle,4.0,3,14333,23800
Chery,QQ,occasion,Essence,Manuelle,4.0,2,3000,27000
Chery,QQ,occasion,Essence,Manuelle,4.0,2,23500,24700
Chery,QQ,occasion,Essence,Manuelle,4.0,2,12500,25500
Chery,Tiggo,occasion,Essence,Manuelle,6.0,4,25000,42500
Chery,Tiggo,occasion,Essence,Manuelle,6.0,4,21000,42000
Chery,Tiggo,occasion,Essence,Manuelle,6.0,4,7375,40000
Chery,Tiggo,occasion,Essence,Automatique,6.0,2,14000,58000
Chery,Tiggo,occasion,Essence,Manuelle,4.0,1,58111,47000
Chery,Tiggo,occasion,Essence,Automatique,22.0,1,58111,89000
Chery,Tiggo,occasion,Essence,Manuelle,6.0,5,14400,40000
Chery,Tiggo,occasion,Essence,Manuelle,6.0,5,36000,32000
Chery,Tiggo,occasion,Essence,Automatique,9.0,5,17280,70000
Chery,Tiggo,occasion,Essence,Automatique,9.0,5,24000,68000
Chery,Tiggo,occasion,Essence,Manuelle,8.0,5,20000,45000
Chery,Tiggo,occasion,Essence,Manuelle,6.0,4,24875,54000
Chery,Tiggo,occasion,Essence,Manuelle,6.0,4,7500,46000
Chery,Tiggo,occasion,Essence,Automatique,4.0,4,13250,80000
Chery,Tiggo,occasion,Essence,Manuelle,6.0,4,16625,45500
Chery,Tiggo,occasion,Essence,Manuelle,6.0,4,16500,48000
Chery,Tiggo,occasion,Essence,Manuelle,5.0,4,9350,42500
Chery,Tiggo,occasion,Essence,Manuelle,6.0,4,12500,41000
Chery,Tiggo,occasion,Essence,Automatique,9.0,3,19370,44000
Chery,Tiggo,occasion,Essence,Manuelle,6.0,3,32666,38000
Chery,Tiggo,occasion,Essence,Automatique,9.0,3,24333,59000
Chery,Tiggo,occasion,Essence,Automatique,9.0,3,6666,95000
Chery,Tiggo,occasion,Essence,Manuelle,6.0,3,12666,47000
Chery,Tiggo,occasion,Essence,Automatique,9.0,3,14000,68000
Chery,Tiggo,occasion,Essence,Automatique,6.0,2,10000,57000
Chery,Tiggo,occasion,Essence,Automatique,6.0,2,4000,58000
Chery,Tiggo,occasion,Essence,Automatique,6.0,2,21806,57500
Chery,Tiggo,occasion,Essence,Automatique,6.0,2,13500,56000
Chery,Tiggo,occasion,Essence,Automatique,9.0,2,31500,80001
Chery,Tiggo,occasion,Essence,Automatique,6.0,2,12500,59000
Chery,Tiggo,occasion,Essence,Automatique,6.0,2,15500,56500
Chery,Tiggo,occasion,Essence,Automatique,9.0,2,25500,83000
Chery,Tiggo,occasion,Essence,Automatique,6.0,2,20250,57000
Chery,Tiggo,occasion,Essence,Automatique,6.0,2,34000,55000
Chery,Tiggo,occasion,Essence,Automatique,6.0,2,10000,60000
Chevrolet,Optra,occasion,Essence,Manuelle,6.0,17,11882,16800
Chevrolet,Aveo,occasion,Essence,Manuelle,5.0,9,17777,25000
Chevrolet,Sonic,occasion,Essence,Manuelle,5.0,7,15807,29000
Chevrolet,Sonic,occasion,Essence,Manuelle,5.0,6,18000,111000
Chevrolet,Aveo,occasion,Essence,Manuelle,5.0,6,40000,27000
Chevrolet,Sonic,occasion,Essence,Manuelle,5.0,6,5833,34000
Chevrolet,Aveo,occasion,Essence,Manuelle,5.0,3,15166,42000
Chevrolet,Sonic,occasion,Essence,Automatique,5.0,2,55325,43000
Chevrolet,Aveo,occasion,Essence,Manuelle,5.0,12,13333,20000
Chevrolet,Aveo,occasion,Essence,Manuelle,6.0,15,7376,18500
Chevrolet,Aveo,occasion,Essence,Manuelle,5.0,14,7903,28000
Chevrolet,Aveo,occasion,Essence,Manuelle,5.0,14,13714,21000
Chevrolet,Aveo,occasion,Essence,Manuelle,5.0,13,23923,19000
Chevrolet,Aveo,occasion,Essence,Manuelle,5.0,12,19450,20000
Chevrolet,Aveo,occasion,Essence,Manuelle,5.0,12,17500,20500
Chevrolet,Aveo,occasion,Essence,Manuelle,5.0,11,13636,28000
Chevrolet,Aveo,occasion,Essence,Manuelle,5.0,11,45454,21000
Chevrolet,Aveo,occasion,Essence,Manuelle,5.0,10,21600,30000
Chevrolet,Aveo,occasion,Essence,Manuelle,5.0,10,12100,25000
Chevrolet,Aveo,occasion,Diesel,Manuelle,5.0,7,34571,24000
Chevrolet,Aveo,occasion,Essence,Manuelle,5.0,7,17428,24700
Chevrolet,Captiva,occasion,Essence,Automatique,9.0,0,0,40000
Chevrolet,Captiva,occasion,Essence,Automatique,9.0,2,55325,84000
